iter	Passed	Remaining
0	59	59578
1	59	29936
2	60	20075
3	60	15148
4	61	12196
5	61	10208
6	62	8809
7	62	7753
8	63	6941
9	63	6283
10	63	5738
11	64	5286
12	64	4909
13	65	4584
14	65	4306
15	65	4053
16	66	3836
17	66	3641
18	67	3466
19	67	3308
20	67	3165
21	68	3041
22	68	2926
23	69	2827
24	70	2730
25	70	2639
26	70	2554
27	71	2496
28	72	2423
29	72	2349
30	73	2282
31	73	2223
32	73	2167
33	74	2116
34	74	2065
35	75	2016
36	75	1971
37	76	1925
38	76	1881
39	76	1840
40	77	1801
41	77	1762
42	77	1727
43	77	1693
44	78	1662
45	78	1634
46	79	1605
47	79	1576
48	79	1548
49	80	1522
50	80	1496
51	80	1471
52	81	1447
53	81	1424
54	81	1401
55	81	1379
56	82	1359
57	82	1338
58	82	1319
59	83	1300
60	83	1282
61	83	1264
62	83	1248
63	84	1231
64	84	1215
65	84	1199
66	85	1184
67	85	1167
68	85	1152
69	85	1138
70	85	1124
71	86	1111
72	86	1098
73	86	1085
74	87	1073
75	87	1062
76	87	1050
77	87	1038
78	88	1027
79	88	1016
80	88	1005
81	88	995
82	89	985
83	89	975
84	89	964
85	89	954
86	89	944
87	90	935
88	90	926
89	90	917
90	91	909
91	91	900
92	91	892
93	91	885
94	92	877
95	92	870
96	93	866
97	93	863
98	94	857
99	94	851
100	94	844
101	95	836
102	95	831
103	96	827
104	96	821
105	96	816
106	97	811
107	97	804
108	97	798
109	98	792
110	98	786
111	98	780
112	98	775
113	99	769
114	99	765
115	99	760
116	100	755
117	100	750
118	100	745
119	100	740
120	101	735
121	101	730
122	101	724
123	101	719
124	102	715
125	102	710
126	102	705
127	102	700
128	103	695
129	103	691
130	103	687
131	103	682
132	104	678
133	104	674
134	104	669
135	104	665
136	105	661
137	105	657
138	105	653
139	105	650
140	106	646
141	106	642
142	106	638
143	106	635
144	107	631
145	107	628
146	107	624
147	107	621
148	108	617
149	108	614
150	108	611
151	108	607
152	109	604
153	109	601
154	109	598
155	110	595
156	110	592
157	110	589
158	110	586
159	111	583
160	111	580
161	111	577
162	111	574
163	112	571
164	112	568
165	112	565
166	112	562
167	113	560
168	113	557
169	113	555
170	113	552
171	114	550
172	114	547
173	114	544
174	115	542
175	115	542
176	116	539
177	116	537
178	116	535
179	117	533
180	117	530
181	117	527
182	117	525
183	117	523
184	118	521
185	118	519
186	119	517
187	119	515
188	119	513
189	120	511
190	120	509
191	120	507
192	120	505
193	121	503
194	121	501
195	121	499
196	121	497
197	122	494
198	122	492
199	122	490
200	122	488
201	123	486
202	123	484
203	123	482
204	123	480
205	124	478
206	124	476
207	124	475
208	125	473
209	125	471
210	125	469
211	125	467
212	125	465
213	126	463
214	126	462
215	126	460
216	127	458
217	127	456
218	127	455
219	127	453
220	128	452
221	128	450
222	128	448
223	129	447
224	129	445
225	129	443
226	129	442
227	130	440
228	130	439
229	130	438
230	131	437
231	131	435
232	131	434
233	132	432
234	132	431
235	132	429
236	132	428
237	133	426
238	133	425
239	133	423
240	134	422
241	134	420
242	134	419
243	134	417
244	135	416
245	135	415
246	135	413
247	136	412
248	136	410
249	136	409
250	136	408
251	136	406
252	137	405
253	137	403
254	137	402
255	138	401
256	138	400
257	138	398
258	138	397
259	139	396
260	139	394
261	139	393
262	140	392
263	140	391
264	140	389
265	140	388
266	141	387
267	141	386
268	141	384
269	141	383
270	142	382
271	142	381
272	142	380
273	142	378
274	143	377
275	143	376
276	143	375
277	143	373
278	144	372
279	144	371
280	145	371
281	145	370
282	145	369
283	146	368
284	146	367
285	147	366
286	147	366
287	147	365
288	147	364
289	148	363
290	148	361
291	148	360
292	149	359
293	149	358
294	149	357
295	149	356
296	150	355
297	150	354
298	150	353
299	150	352
300	151	350
301	151	349
302	151	348
303	151	347
304	152	346
305	152	345
306	152	344
307	152	343
308	153	342
309	153	341
310	153	340
311	153	339
312	154	338
313	154	337
314	154	336
315	154	335
316	155	334
317	155	333
318	155	332
319	156	331
320	156	330
321	156	329
322	156	328
323	157	327
324	157	326
325	157	326
326	157	325
327	158	324
328	158	323
329	158	322
330	159	321
331	159	320
332	159	319
333	159	318
334	160	318
335	160	317
336	160	316
337	161	315
338	161	314
339	161	314
340	162	313
341	162	312
342	162	311
343	162	310
344	163	309
345	163	308
346	163	308
347	163	307
348	164	306
349	164	305
350	164	304
351	165	303
352	165	302
353	165	302
354	165	301
355	166	300
356	166	299
357	166	298
358	166	298
359	167	297
360	167	296
361	167	295
362	168	295
363	168	294
364	168	293
365	168	292
366	169	291
367	169	291
368	169	290
369	170	289
370	170	288
371	170	287
372	170	287
373	171	286
374	171	285
375	171	284
376	172	284
377	172	283
378	172	282
379	172	281
380	173	281
381	173	280
382	173	279
383	173	278
384	174	278
385	174	277
386	174	276
387	175	276
388	175	275
389	175	275
390	184	287
391	198	308
392	199	308
393	199	307
394	200	306
395	200	305
396	200	305
397	201	304
398	201	303
399	201	302
400	202	302
401	203	302
402	203	301
403	203	300
404	204	300
405	204	299
406	205	299
407	206	298
408	206	298
409	206	297
410	207	296
411	208	297
412	208	296
413	209	296
414	209	295
415	209	294
416	210	293
417	210	292
418	210	291
419	210	291
420	211	290
421	211	289
422	211	288
423	211	287
424	212	286
425	212	286
426	212	285
427	212	284
428	213	283
429	213	282
430	213	282
431	213	281
432	214	280
433	214	279
434	214	278
435	215	278
436	215	277
437	215	276
438	215	275
439	216	275
440	216	274
441	216	273
442	216	272
443	217	271
444	217	271
445	217	270
446	217	269
447	218	268
448	218	268
449	218	267
450	218	266
451	219	265
452	219	265
453	219	264
454	220	263
455	220	262
456	220	262
457	220	261
458	221	260
459	221	259
460	221	259
461	221	258
462	222	257
463	222	256
464	222	256
465	222	255
466	223	254
467	223	254
468	223	253
469	224	252
470	224	251
471	224	251
472	224	250
473	225	249
474	225	249
475	225	248
476	226	247
477	226	247
478	226	246
479	226	245
480	227	245
481	227	244
482	227	243
483	227	242
484	228	242
485	228	241
486	228	240
487	228	240
488	229	239
489	229	238
490	229	238
491	229	237
492	230	236
493	230	236
494	230	235
495	230	234
496	231	234
497	231	233
498	231	232
499	232	232
500	232	231
501	232	230
502	232	230
503	233	229
504	233	228
505	233	228
506	233	227
507	234	226
508	234	226
509	234	225
510	234	224
511	235	224
512	235	223
513	235	222
514	235	222
515	236	221
516	236	220
517	236	220
518	236	219
519	237	218
520	237	218
521	237	217
522	238	217
523	238	216
524	238	215
525	238	215
526	239	214
527	239	214
528	239	213
529	240	212
530	240	212
531	240	211
532	240	211
533	241	210
534	241	209
535	241	209
536	242	208
537	242	208
538	242	207
539	242	206
540	243	206
541	243	205
542	243	204
543	243	204
544	244	203
545	244	203
546	244	202
547	244	202
548	245	201
549	245	200
550	245	200
551	246	199
552	246	199
553	246	198
554	246	197
555	247	197
556	247	196
557	247	196
558	248	195
559	248	195
560	248	194
561	248	193
562	249	193
563	249	192
564	249	192
565	249	191
566	250	190
567	250	190
568	250	189
569	250	189
570	251	188
